Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2530.000,2178.000,
2007-02-01,,2446.000,2117.000,
2007-03-01,,2459.000,2138.000,
2007-04-01,,2491.000,2164.000,
2007-05-01,,2519.000,2188.000,
2007-06-01,,2542.000,2207.000,
2007-07-01,,2582.000,2241.000,
2007-08-01,,2619.000,2269.000,
2007-09-01,,2637.000,2286.000,
2007-10-01,,2644.000,2295.000,
2007-11-01,,2664.000,2310.000,
2007-12-01,,2671.000,2319.000,
2008-01-01,,2672.000,2318.000,
2008-02-01,,2669.000,2317.000,
2008-03-01,,2677.000,2324.000,
2008-04-01,,2676.000,2323.000,
2008-05-01,,2678.000,2323.000,
2008-06-01,,2679.000,2324.000,
2008-07-01,,2679.000,2326.000,
2008-08-01,,2680.000,2327.000,
2008-09-01,,2668.000,2317.000,
2008-10-01,,2641.000,2294.000,
2008-11-01,,2611.000,2270.000,
2008-12-01,,2574.000,2238.000,
2009-01-01,,2539.000,2209.000,
2009-02-01,,2506.000,2182.000,
2009-03-01,,2479.000,2159.000,
2009-04-01,,2453.000,2137.000,
2009-05-01,,2434.000,2122.000,
2009-06-01,,2425.000,2114.000,
2009-07-01,,2426.000,2115.000,
2009-08-01,,2421.000,2111.000,
2009-09-01,,2421.000,2112.000,
2009-10-01,,2415.000,2106.000,
2009-11-01,,2403.000,2097.000,
2009-12-01,,2397.000,2091.000,
2010-01-01,1842.000,2402.000,2095.000,
2010-02-01,1834.000,2408.000,2099.000,
2010-03-01,1844.000,2411.000,2102.000,
2010-04-01,1853.000,2419.000,2108.000,
2010-05-01,1871.000,2432.000,2119.000,
2010-06-01,1888.000,2446.000,2133.000,
2010-07-01,1891.000,2463.000,2147.000,
2010-08-01,1900.000,2478.000,2160.000,
2010-09-01,1903.000,2494.000,2173.000,
2010-10-01,1917.000,2505.000,2183.000,
2010-11-01,1909.000,2511.000,2188.000,
2010-12-01,1930.000,2518.000,2196.000,
2011-01-01,1932.000,2531.000,2206.000,
2011-02-01,1937.000,2543.000,2216.000,
2011-03-01,1935.000,2557.000,2227.000,
2011-04-01,1956.000,2574.000,2243.000,
2011-05-01,1974.000,2588.000,2255.000,
2011-06-01,1988.000,2606.000,2271.000,
2011-07-01,2001.000,2626.000,2288.000,
2011-08-01,2017.000,2642.000,2302.000,
2011-09-01,2027.000,2656.000,2315.000,
2011-10-01,2039.000,2670.000,2327.000,
2011-11-01,2047.000,2675.000,2332.000,
2011-12-01,2047.000,2679.000,2335.000,
2012-01-01,2050.000,2686.000,2340.000,1738.000
2012-02-01,2059.000,2696.000,2349.000,1776.000
2012-03-01,2063.000,2709.000,2360.000,1785.000
2012-04-01,2084.000,2723.000,2373.000,1778.000
2012-05-01,2097.000,2740.000,2388.000,1797.000
2012-06-01,2109.000,2752.000,2399.000,1790.000
2012-07-01,2125.000,2769.000,2414.000,1798.000
2012-08-01,2138.000,2782.000,2425.000,1789.000
2012-09-01,2148.000,2791.000,2433.000,1802.000
2012-10-01,2162.000,2797.000,2439.000,1802.000
2012-11-01,2179.000,2802.000,2446.000,1815.000
2012-12-01,2191.000,2803.000,2448.000,1816.000
2013-01-01,2196.000,2806.000,2452.000,1821.000
2013-02-01,2201.000,2816.000,2459.000,1820.000
2013-03-01,2206.000,2823.000,2465.000,1820.000
2013-04-01,2220.000,2832.000,2474.000,1826.000
2013-05-01,2237.000,2848.000,2489.000,1841.000
2013-06-01,2254.000,2861.000,2501.000,1847.000
2013-07-01,2273.000,2873.000,2514.000,1864.000
2013-08-01,2287.000,2883.000,2524.000,1871.000
2013-09-01,2295.000,2893.000,2532.000,1879.000
2013-10-01,2304.000,2897.000,2537.000,1878.000
2013-11-01,2304.000,2896.000,2536.000,1876.000
2013-12-01,2304.000,2892.000,2532.000,1870.000
2014-01-01,2305.000,2895.000,2535.000,1876.000
2014-02-01,2311.000,2898.000,2539.000,1877.000
2014-03-01,2312.000,2907.000,2544.000,1881.000
2014-04-01,2325.000,2922.000,2558.000,1894.000
2014-05-01,2342.000,2941.000,2574.000,1899.000
2014-06-01,2356.000,2955.000,2586.000,1906.000
2014-07-01,2369.000,2968.000,2599.000,1922.000
2014-08-01,2384.000,2982.000,2613.000,1933.000
2014-09-01,2390.000,2989.000,2620.000,1948.000
2014-10-01,2391.000,2993.000,2623.000,1955.000
2014-11-01,2393.000,2993.000,2624.000,1958.000
2014-12-01,2395.000,2993.000,2625.000,1962.000
2015-01-01,2404.000,2999.000,2632.000,1973.000
2015-02-01,2410.000,3010.000,2640.000,1982.000
2015-03-01,2416.000,3022.000,2650.000,1982.000
2015-04-01,2429.000,3038.000,2663.000,1990.000
2015-05-01,2443.000,3059.000,2680.000,2000.000
2015-06-01,2457.000,3077.000,2695.000,2007.000
2015-07-01,2472.000,3091.000,2710.000,2025.000
2015-08-01,2483.000,3104.000,2722.000,2038.000
2015-09-01,2495.000,3110.000,2729.000,2045.000
